Institution,Country,Year,Best Rank,Worst Rank,Highest Score,Lowest Score,Teaching,Research,Citations,Industry Income,International Outlook,FTE Enrollment,Students per Staff,International Enrollment,Pct Women,Score,Rank
Mansoura University,Egypt,2019,601,800,33.4,26.0,16.8,8.9,59.2,40.5,43.3,136359,25.0,0.03,0.54,29.73,689.0
Marquette University,United States,2019,601,800,33.4,26.0,36.1,14.0,32.1,36.2,23.7,10494,12.3,0.05,0.53,27.342500000000005,757.0
Masaryk University,Czech Republic,2019,601,800,33.4,26.0,22.1,24.7,34.6,35.1,59.2,33243,21.5,0.21,0.62,29.737500000000004,688.0
Mashhad University of Medical Sciences,Iran,2019,601,800,33.4,26.0,27.3,11.6,48.0,34.0,18.1,9015,10.6,0.02,0.61,28.277500000000003,732.0
Middle East Technical University,Turkey,2019,601,800,33.4,26.0,26.4,21.0,28.3,66.4,29.9,27294,32.2,0.06,0.44,26.6125,782.0
Miguel Hernández University of Elche,Spain,2019,601,800,33.4,26.0,24.4,12.4,43.2,36.9,31.4,13667,20.8,0.04,0.5,27.2775,760.0
University of Minho,Portugal,2019,601,800,33.4,26.0,21.4,19.2,39.4,57.8,48.0,18299,18.4,0.1,0.54,29.045,709.0
Mississippi State University,United States,2019,601,800,33.4,26.0,21.0,16.1,41.8,38.0,24.2,23609,18.6,0.03,0.51,26.435,787.0
Monterrey Institute of Technology and Higher Education,Mexico,2019,601,800,33.4,26.0,22.0,16.1,39.8,73.5,59.9,14215,16.1,0.11,0.41,29.699999999999996,690.0
Nanjing Agricultural University,China,2019,601,800,33.4,26.0,20.6,17.0,43.0,45.7,19.8,26198,15.9,0.02,0.55,26.807499999999997,776.0
Nanjing Medical University,China,2019,601,800,33.4,26.0,23.6,24.1,36.4,34.9,19.6,13707,9.1,0.05,,27.572499999999998,754.0
Nanjing Normal University,China,2019,601,800,33.4,26.0,19.7,11.1,47.0,48.5,20.6,26894,13.2,0.03,0.7,26.097499999999997,796.0
Nanjing Tech University,China,2019,601,800,33.4,26.0,17.5,11.6,48.9,54.3,21.1,31846,14.2,0.01,,26.339999999999996,789.0
University of Nantes,France,2019,601,800,33.4,26.0,19.0,19.8,56.4,37.0,49.1,36520,24.5,0.1,0.56,33.1675,609.0
National Autonomous University of Mexico,Mexico,2019,601,800,33.4,26.0,32.6,28.1,19.2,55.7,40.5,162018,13.6,0.06,0.51,28.4,729.0
National Institute of Applied Sciences of Lyon (INSA Lyon),France,2019,601,800,33.4,26.0,27.6,15.0,38.1,65.3,76.9,6125,8.8,0.29,0.32,31.61,644.0
National Institute of Technology Rourkela,India,2019,601,800,33.4,26.0,26.1,13.2,44.2,37.3,16.4,6010,20.0,0.04,0.19,27.2125,762.0
National University of Science and Technology (MISiS),Russian Federation,2019,601,800,33.4,26.0,23.1,17.4,28.8,69.1,59.2,7334,10.4,0.24,0.38,26.9575,770.0
National Sun Yat-Sen University,Taiwan,2019,601,800,33.4,26.0,24.6,28.3,25.9,55.4,30.7,9522,14.9,0.05,0.39,27.3275,758.0
National Taiwan Normal University,Taiwan,2019,601,800,33.4,26.0,32.0,36.3,23.0,78.3,51.1,10621,12.6,0.26,0.56,33.18,608.0
"University of Nevada, Las Vegas",United States,2019,601,800,33.4,26.0,29.4,21.2,43.0,34.0,31.5,25120,26.1,0.05,0.56,31.2925,648.0
New Mexico State University,United States,2019,601,800,33.4,26.0,21.8,14.3,53.9,38.6,35.5,13329,17.3,0.08,0.53,30.6275,662.0
Nippon Medical School,Japan,2019,601,800,33.4,26.0,28.5,25.0,44.3,35.6,26.7,837,6.3,0.01,0.33,32.232499999999995,633.0
University of North Carolina at Greensboro,United States,2019,601,800,33.4,26.0,21.2,20.6,39.0,34.9,19.5,18593,24.9,0.03,0.66,26.574999999999996,783.0
Northeast Normal University,China,2019,601,800,33.4,26.0,27.0,10.1,50.9,35.8,17.2,25325,16.2,0.02,0.72,28.584999999999997,723.0
Northwestern Polytechnical University,China,2019,601,800,33.4,26.0,26.2,30.1,27.8,78.9,20.2,27423,13.6,0.03,0.26,28.7175,718.0
Nottingham Trent University,United Kingdom,2019,601,800,33.4,26.0,16.4,12.5,52.1,34.2,63.4,23462,15.9,0.19,0.57,29.909999999999997,682.0
Old Dominion University,United States,2019,601,800,33.4,26.0,22.8,19.2,57.1,34.0,29.9,19064,19.3,0.03,0.54,32.8225,619.0
Open University of Catalonia,Spain,2019,601,800,33.4,26.0,12.8,12.5,71.3,34.9,39.8,20133,54.6,0.03,0.55,32.8375,618.0
Otto von Guericke University of Magdeburg,Germany,2019,601,800,33.4,26.0,24.3,13.7,45.9,42.6,56.8,14427,12.1,0.16,0.43,30.495,667.0
University of Oviedo,Spain,2019,601,800,33.4,26.0,25.5,14.7,50.8,38.0,34.1,18689,10.8,0.03,0.52,30.807499999999997,655.0
Palacký University Olomouc,Czech Republic,2019,601,800,33.4,26.0,18.9,11.8,42.5,34.8,57.1,17968,11.5,0.12,0.69,27.1125,765.0
Panjab University,India,2019,601,800,33.4,26.0,26.9,11.0,54.5,34.0,16.0,18360,21.5,0.01,0.47,29.769999999999996,687.0
University of Pécs,Hungary,2019,601,800,33.4,26.0,18.8,16.7,37.6,39.0,55.3,17456,13.3,0.18,0.58,27.052500000000002,767.0
Peter the Great St Petersburg Polytechnic University,Russian Federation,2019,601,800,33.4,26.0,26.1,16.0,38.1,73.4,52.4,18420,8.8,0.24,0.4,29.825,684.0
Polytechnic Institute of Porto,Portugal,2019,601,800,33.4,26.0,12.2,7.8,64.9,34.1,31.6,18215,17.0,0.06,0.46,28.692500000000003,719.0
Polytechnic University of Valencia,Spain,2019,601,800,33.4,26.0,25.4,12.0,45.2,44.5,47.5,21945,9.4,0.13,0.38,29.455000000000002,698.0
Pontifical Catholic University of Chile,Chile,2019,601,800,33.4,26.0,25.5,24.0,44.0,39.0,56.9,27485,15.2,0.07,,33.2925,605.0
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,2019,601,800,33.4,26.0,27.0,21.8,30.6,98.2,43.5,15415,18.7,0.06,0.52,29.5375,695.0
Portland State University,United States,2019,601,800,33.4,26.0,19.8,21.7,42.8,34.6,31.8,20666,18.4,0.09,0.54,28.539999999999996,724.0
University of Pretoria,South Africa,2019,601,800,33.4,26.0,23.8,28.7,35.7,59.4,51.0,35687,23.2,0.08,0.56,31.77,638.0
Pusan National University,South Korea,2019,601,800,33.4,26.0,27.8,28.2,28.4,63.2,35.3,24409,18.4,0.11,0.47,29.5475,694.0
Université du Québec,Canada,2019,601,800,33.4,26.0,22.6,21.3,39.4,41.8,65.6,54198,20.2,0.1,0.57,30.955,653.0
University of Regina,Canada,2019,601,800,33.4,26.0,15.3,14.8,45.8,36.0,54.1,12585,22.5,0.15,0.6,27.7275,750.0
University of Rennes 1,France,2019,601,800,33.4,26.0,19.1,15.4,49.8,36.4,55.1,27685,17.4,0.11,0.53,30.3325,671.0
Rikkyo University,Japan,2019,601,800,33.4,26.0,14.4,8.6,60.7,34.3,38.9,20542,24.7,0.03,0.52,28.884999999999998,714.0
Rochester Institute of Technology,United States,2019,601,800,33.4,26.0,19.6,17.2,42.9,36.1,39.9,14200,16.2,0.18,0.34,27.804999999999996,746.0
Roskilde University,Denmark,2019,601,800,33.4,26.0,19.4,31.0,44.4,37.5,49.3,6109,16.1,0.1,0.63,33.074999999999996,611.0
RUDN University,Russian Federation,2019,601,800,33.4,26.0,38.3,10.3,19.6,36.9,70.7,19350,10.8,0.25,0.58,26.684999999999995,780.0
Universiti Sains Malaysia,Malaysia,2019,601,800,33.4,26.0,35.6,22.4,18.8,43.2,50.7,21394,11.2,0.13,0.65,27.9225,743.0
University of Salamanca,Spain,2019,601,800,33.4,26.0,27.8,15.2,33.6,35.6,49.5,29243,17.7,0.15,0.58,27.582499999999996,753.0
University of Salford,United Kingdom,2019,601,800,33.4,26.0,18.1,15.4,34.5,34.5,71.4,15947,18.8,0.25,0.51,26.6175,781.0
University of San Diego,United States,2019,601,800,33.4,26.0,37.4,18.1,38.1,39.5,25.0,7671,13.0,0.08,0.56,30.9425,654.0
University of Santiago de Compostela,Spain,2019,601,800,33.4,26.0,26.8,16.0,50.5,39.0,44.3,26118,15.2,0.08,0.62,32.2875,632.0
University of Sassari,Italy,2019,601,800,33.4,26.0,20.7,15.1,51.6,35.6,36.2,12227,21.2,0.01,0.61,29.825,684.0
University of Seville,Spain,2019,601,800,33.4,26.0,27.0,18.8,38.7,36.6,38.4,55395,19.4,0.07,0.54,29.145,706.0
Sharif University of Technology,Iran,2019,601,800,33.4,26.0,26.2,31.9,38.8,93.8,19.9,9435,19.0,,0.26,32.9075,617.0
Shenzhen University,China,2019,601,800,33.4,26.0,15.8,17.7,62.6,49.9,33.7,34095,17.2,0.01,0.47,32.605000000000004,623.0
Université de Sherbrooke,Canada,2019,601,800,33.4,26.0,27.8,13.4,51.5,36.6,57.6,15148,12.7,0.08,0.55,33.044999999999995,612.0
Shiraz University of Technology,Iran,2019,601,800,33.4,26.0,21.6,18.6,46.6,43.5,15.2,1512,14.5,,0.36,28.2675,733.0
Sichuan University,China,2019,601,800,33.4,26.0,32.7,27.4,32.0,76.9,19.8,59998,13.8,0.03,0.5,31.0375,652.0
Sogang University,South Korea,2019,601,800,33.4,26.0,23.2,29.2,22.9,47.7,30.7,9636,22.2,0.08,0.43,26.084999999999994,797.0
University of South Alabama,United States,2019,601,800,33.4,26.0,31.4,10.0,44.2,35.8,25.1,14391,15.0,0.06,0.61,28.4575,728.0
University of South Dakota,United States,2019,601,800,33.4,26.0,30.4,14.5,55.8,38.6,24.4,15570,35.3,0.03,0.61,33.005,613.0
University of Southern Queensland,Australia,2019,601,800,33.4,26.0,19.7,18.2,35.7,35.8,71.4,11815,26.4,0.16,0.58,28.33,730.0
University of Split,Croatia,2019,601,800,33.4,26.0,13.8,13.8,60.4,40.5,43.3,20093,28.3,0.02,,30.659999999999997,661.0
Suez Canal University,Egypt,2019,601,800,33.4,26.0,17.6,7.6,69.0,35.3,45.5,39113,12.5,0.01,0.62,32.555,624.0
University of the Sunshine Coast,Australia,2019,601,800,33.4,26.0,15.9,22.0,42.3,36.3,66.3,8915,29.2,0.16,0.64,29.939999999999998,680.0
University of Szeged,Hungary,2019,601,800,33.4,26.0,19.8,11.1,41.2,37.3,52.5,20388,13.1,0.14,0.57,26.500000000000004,786.0
University of Tabriz,Iran,2019,601,800,33.4,26.0,26.6,18.1,37.8,43.0,17.1,23480,29.9,,0.5,27.107499999999998,766.0
Tallinn University of Technology,Estonia,2019,601,800,33.4,26.0,16.8,14.2,37.6,45.5,58.7,10431,20.8,0.15,0.43,26.119999999999997,795.0
Technical University of Madrid,Spain,2019,601,800,33.4,26.0,31.1,13.9,37.9,42.6,47.5,39269,13.2,0.13,0.32,29.4975,697.0
University of Technology of Compiègne,France,2019,601,800,33.4,26.0,24.2,9.9,50.1,41.9,82.7,4254,15.9,0.24,0.37,32.51,625.0
University of Tehran,Iran,2019,601,800,33.4,26.0,33.8,22.5,35.0,34.0,22.4,55645,25.7,0.02,0.43,29.92,681.0
Tehran University of Medical Sciences,Iran,2019,601,800,33.4,26.0,48.1,15.8,30.1,37.9,21.1,12230,7.2,0.06,0.58,30.730000000000004,658.0
Universiti Teknologi Malaysia,Malaysia,2019,601,800,33.4,26.0,35.9,24.4,23.3,44.8,57.1,17726,10.9,0.17,0.52,30.482499999999998,668.0
Universiti Teknologi Petronas,Malaysia,2019,601,800,33.4,26.0,25.2,30.7,26.7,78.7,64.9,6448,16.5,0.21,0.33,31.615000000000002,643.0
University of Texas at Arlington,United States,2019,601,800,33.4,26.0,19.3,17.6,48.0,39.3,45.6,27061,23.8,0.15,0.55,29.872500000000002,683.0
University of Texas at El Paso,United States,2019,601,800,33.4,26.0,19.6,21.4,41.8,34.0,37.9,16744,23.6,0.08,0.53,28.5325,725.0
Texas Tech University,United States,2019,601,800,33.4,26.0,30.5,20.7,42.3,36.7,44.6,32486,22.2,0.09,0.46,32.31249999999999,631.0
Tezpur University,India,2019,601,800,33.4,26.0,35.2,26.0,31.2,34.2,13.7,3454,12.4,,0.38,29.6025,693.0
University of Trás-os-Montes and Alto Douro,Portugal,2019,601,800,33.4,26.0,22.3,20.8,34.1,34.0,37.3,6770,12.4,0.04,0.57,26.8075,775.0
Ulster University,United Kingdom,2019,601,800,33.4,26.0,19.8,18.2,39.5,35.2,75.3,17919,18.9,0.08,0.56,29.7775,686.0
University of Vigo,Spain,2019,601,800,33.4,26.0,26.0,14.8,35.3,39.0,41.7,19699,17.0,0.06,0.5,26.9325,771.0
University of Warsaw,Poland,2019,601,800,33.4,26.0,25.7,19.9,44.7,34.2,44.9,49752,14.0,0.09,0.65,31.3125,646.0
Waseda University,Japan,2019,601,800,33.4,26.0,30.7,21.7,31.2,38.0,36.3,49761,16.0,0.1,0.37,28.752499999999998,716.0
University of the West of England,United Kingdom,2019,601,800,33.4,26.0,15.7,14.8,42.7,34.5,62.3,20893,18.0,0.2,0.53,27.495,756.0
University of the Western Cape,South Africa,2019,601,800,33.4,26.0,17.3,19.3,42.9,34.3,61.0,21246,32.4,0.08,0.6,29.2825,703.0
Western Washington University,United States,2019,601,800,33.4,26.0,14.7,10.2,61.1,34.0,22.2,13726,17.7,0.01,0.57,28.314999999999998,731.0
University of Westminster,United Kingdom,2019,601,800,33.4,26.0,18.2,15.4,36.2,34.4,84.9,16966,18.1,0.47,0.59,28.1675,736.0
West Virginia University,United States,2019,601,800,33.4,26.0,18.9,10.2,53.8,34.0,39.4,23689,16.8,0.08,0.47,28.674999999999997,720.0
University of Windsor,Canada,2019,601,800,33.4,26.0,32.6,18.9,34.4,37.4,69.1,13427,24.8,0.18,,31.887499999999992,637.0
University of Wolverhampton,United Kingdom,2019,601,800,33.4,26.0,15.0,13.0,41.8,34.1,65.4,15468,20.4,0.21,0.59,26.697499999999998,779.0
Yeungnam University,South Korea,2019,601,800,33.4,26.0,17.7,12.5,44.1,40.3,35.7,20389,14.5,0.05,0.5,25.975,800.0
Yokohama City University,Japan,2019,601,800,33.4,26.0,24.5,8.3,63.1,39.2,19.6,4910,3.7,0.02,0.56,31.22,650.0
University of Zaragoza,Spain,2019,601,800,33.4,26.0,27.9,12.4,47.7,38.1,37.0,28008,10.3,0.04,0.54,30.127499999999998,675.0
Acharya Nagarjuna University,India,2019,801,1000,25.9,19.0,39.0,8.5,13.4,40.7,22.2,4730,13.4,0.05,0.35,20.9525,932.0
University of A Coruña,Spain,2019,801,1000,25.9,19.0,22.8,12.4,26.1,35.6,30.9,15159,11.4,0.02,0.52,21.5975,911.0
"Adam Mickiewicz University, Poznań",Poland,2019,801,1000,25.9,19.0,16.8,12.5,26.1,34.8,31.7,37630,14.0,0.02,0.7,19.8675,967.0
AGH University of Science and Technology,Poland,2019,801,1000,25.9,19.0,16.6,13.1,26.6,36.7,20.4,31252,14.1,0.02,,19.337500000000002,983.0
"University of Agriculture, Faisalabad",Pakistan,2019,801,1000,25.9,19.0,16.9,16.3,23.8,36.2,31.8,22178,32.0,,0.42,20.39,944.0
Aichi Medical University,Japan,2019,801,1000,25.9,19.0,24.6,10.5,26.0,37.8,17.1,1272,2.9,0.01,0.6,20.557499999999997,942.0
Ajou University,South Korea,2019,801,1000,25.9,19.0,24.3,18.0,28.4,50.7,26.1,11349,10.0,0.05,0.36,24.435000000000002,834.0
Alexandria University,Egypt,2019,801,1000,25.9,19.0,15.3,10.3,27.4,40.7,44.4,175270,25.0,0.03,0.54,20.247499999999995,954.0
Al-Farabi Kazakh National University,Kazakhstan,2019,801,1000,25.9,19.0,24.3,9.4,15.4,42.7,59.7,16931,4.6,0.14,0.56,20.275,952.0
University of Alicante,Spain,2019,801,1000,25.9,19.0,23.6,13.6,28.4,36.5,39.9,27639,19.0,0.09,0.58,23.585,867.0
Aligarh Muslim University,India,2019,801,1000,25.9,19.0,30.9,9.2,37.4,34.0,24.4,17884,14.3,0.02,0.32,25.93,802.0
University of Almería,Spain,2019,801,1000,25.9,19.0,17.3,12.5,24.0,36.0,35.9,12883,19.2,0.07,0.56,19.732499999999998,971.0
American University of Sharjah,United Arab Emirates,2019,801,1000,25.9,19.0,18.0,13.6,20.2,36.4,95.9,5769,14.2,0.84,0.49,23.6425,863.0
Anadolu University,Turkey,2019,801,1000,25.9,19.0,11.6,23.9,17.5,100.0,16.4,1413003,865.8,0.01,0.44,19.63,976.0
"Asia University, Taiwan",Taiwan,2019,801,1000,25.9,19.0,14.5,22.5,19.4,77.3,26.3,12320,26.0,0.03,0.58,20.825,935.0
Atılım University,Turkey,2019,801,1000,25.9,19.0,14.3,9.3,38.7,35.6,33.0,7624,13.7,0.07,0.4,22.055000000000003,900.0
Austral University of Chile,Chile,2019,801,1000,25.9,19.0,14.4,11.4,23.0,46.7,50.0,14873,16.7,0.02,0.49,19.5575,978.0
Autonomous University of Querétaro,Mexico,2019,801,1000,25.9,19.0,29.4,7.6,17.3,44.1,22.0,21812,36.8,0.01,0.56,19.042499999999997,998.0
Azarbaijan Shahid Madani University,Iran,2019,801,1000,25.9,19.0,17.6,11.3,28.4,36.7,14.6,6322,23.9,,0.65,19.202499999999997,990.0
Babeş-Bolyai University,Romania,2019,801,1000,25.9,19.0,19.6,13.6,35.7,34.4,54.9,36888,24.5,0.02,0.64,25.6475,808.0
University of Baghdad,Iraq,2019,801,1000,25.9,19.0,19.2,7.0,33.9,34.6,36.5,66948,10.2,,0.58,21.6325,910.0
Bandung Institute of Technology (ITB),Indonesia,2019,801,1000,25.9,19.0,20.1,15.5,13.5,92.4,38.3,18643,11.8,0.02,0.41,19.912499999999998,964.0
Bauman Moscow State Technical University,Russian Federation,2019,801,1000,25.9,19.0,38.7,16.9,4.9,57.4,21.6,20510,3.9,0.07,0.25,21.205,921.0
University of Bedfordshire,United Kingdom,2019,801,1000,25.9,19.0,16.3,12.8,25.8,34.6,73.5,10683,18.8,0.32,0.62,22.847499999999997,886.0
Beijing Jiaotong University,China,2019,801,1000,25.9,19.0,22.9,21.7,15.4,66.6,26.4,25110,13.4,0.07,,21.645,909.0
University of Béjaïa,Algeria,2019,801,1000,25.9,19.0,11.7,7.1,47.1,34.0,43.0,42689,25.8,,0.61,23.845000000000002,852.0
Belgorod State National Research University,Russian Federation,2019,801,1000,25.9,19.0,18.8,9.3,28.5,41.2,41.1,13883,12.9,0.15,0.67,21.092499999999998,925.0
University of Belgrade,Serbia,2019,801,1000,25.9,19.0,19.7,18.1,30.1,40.1,36.8,99760,21.1,0.05,0.61,24.132499999999997,842.0
"Birla Institute of Technology and Science, Pilani",India,2019,801,1000,25.9,19.0,18.0,9.3,29.4,34.9,16.4,12612,17.2,,0.19,19.112499999999997,996.0
University of Brasília,Brazil,2019,801,1000,25.9,19.0,22.3,13.0,25.8,37.6,30.3,52039,18.4,0.02,0.51,21.5425,915.0
Brno University of Technology,Czech Republic,2019,801,1000,25.9,19.0,17.3,14.7,24.9,41.3,49.4,21522,20.8,0.21,0.28,21.807499999999997,906.0
University of Bucharest,Romania,2019,801,1000,25.9,19.0,12.8,25.1,16.1,34.0,40.3,31388,24.2,0.02,0.7,20.072500000000005,958.0
Budapest University of Technology and Economics,Hungary,2019,801,1000,25.9,19.0,15.1,14.2,26.5,43.9,34.0,19499,17.6,0.07,0.3,20.3875,945.0
University of Burgos,Spain,2019,801,1000,25.9,19.0,19.4,11.3,25.1,36.9,33.2,7394,13.4,0.03,0.56,20.152499999999996,955.0
Cairo University,Egypt,2019,801,1000,25.9,19.0,19.3,12.1,35.0,35.2,34.8,233999,42.1,0.02,0.47,23.41,870.0
"California Polytechnic State University, San Luis Obispo",United States,2019,801,1000,25.9,19.0,15.8,11.0,40.4,37.1,34.9,19461,20.1,0.02,0.48,23.704999999999995,858.0
Capital Medical University,China,2019,801,1000,25.9,19.0,29.5,19.7,21.5,34.8,23.2,12826,7.1,0.05,0.68,23.819999999999997,853.0
University of Castilla-La Mancha,Spain,2019,801,1000,25.9,19.0,20.3,11.7,31.1,35.9,35.2,23309,13.6,0.06,0.56,22.4675,893.0
University of Central Lancashire,United Kingdom,2019,801,1000,25.9,19.0,15.3,12.7,39.7,34.4,62.2,18389,16.4,0.18,0.57,25.834999999999997,805.0
University of Cergy-Pontoise,France,2019,801,1000,25.9,19.0,14.7,12.7,18.8,34.5,60.2,17161,19.1,0.15,0.56,19.2375,987.0
"University of Chemistry and Technology, Prague",Czech Republic,2019,801,1000,25.9,19.0,23.4,13.6,18.4,40.1,50.3,4312,10.0,0.2,0.62,21.395,918.0
Chiang Mai University,Thailand,2019,801,1000,25.9,19.0,19.8,13.6,19.1,49.2,33.0,36635,16.2,0.01,0.61,19.455000000000002,980.0
"China University of Geosciences, Wuhan",China,2019,801,1000,25.9,19.0,21.0,15.3,39.2,49.4,24.1,28652,17.2,0.03,,25.6925,807.0
China University of Mining and Technology,China,2019,801,1000,25.9,19.0,19.7,15.0,36.5,53.6,16.9,45518,18.8,0.02,0.3,23.967499999999998,847.0
"China University of Petroleum, Beijing",China,2019,801,1000,25.9,19.0,23.8,24.1,24.9,89.5,20.0,15127,18.9,0.04,,25.5775,810.0
China Pharmaceutical University,China,2019,801,1000,25.9,19.0,19.1,11.7,33.3,44.2,16.3,15646,17.0,0.02,,21.557499999999997,914.0
Chonbuk National University,South Korea,2019,801,1000,25.9,19.0,21.0,20.1,23.6,38.4,28.8,21221,20.6,0.04,0.45,22.53,892.0
Chongqing University,China,2019,801,1000,25.9,19.0,19.7,18.2,28.1,57.8,21.6,47031,17.0,0.04,,22.865,885.0
Chonnam National University,South Korea,2019,801,1000,25.9,19.0,21.2,19.9,30.2,38.7,25.3,23261,17.1,0.05,0.49,24.255,839.0
Chulalongkorn University,Thailand,2019,801,1000,25.9,19.0,28.9,20.5,20.4,61.4,38.4,36781,12.3,0.02,0.59,25.354999999999997,816.0
Chung Yuan Christian University,Taiwan,2019,801,1000,25.9,19.0,14.3,24.4,13.6,48.7,33.7,16034,33.0,0.11,0.43,19.435000000000002,981.0
Comenius University in Bratislava,Slovakia,2019,801,1000,25.9,19.0,21.9,12.1,22.8,36.4,49.6,21376,10.4,0.12,0.67,21.669999999999998,907.0
Czech University of Life Sciences Prague (CULS),Czech Republic,2019,801,1000,25.9,19.0,15.9,12.2,16.8,45.9,70.4,17094,20.5,0.19,0.54,19.8975,965.0
Czech Technical University in Prague,Czech Republic,2019,801,1000,25.9,19.0,18.9,17.8,28.3,41.9,49.7,20387,13.1,0.18,0.31,24.275,838.0
University of Debrecen,Hungary,2019,801,1000,25.9,19.0,19.1,8.4,24.5,41.7,51.6,26752,17.0,0.16,0.56,20.5125,943.0
De La Salle University,Philippines,2019,801,1000,25.9,19.0,16.7,10.8,28.4,34.0,33.7,17679,19.3,0.03,0.52,20.1475,956.0
University of Derby,United Kingdom,2019,801,1000,25.9,19.0,15.0,9.8,35.0,34.6,55.9,12500,14.9,0.13,0.56,22.997499999999995,881.0
Dublin Institute of Technology,Ireland,2019,801,1000,25.9,19.0,14.3,11.9,34.9,35.0,73.4,15288,21.0,0.2,0.42,24.709999999999997,832.0
East Carolina University,United States,2019,801,1000,25.9,19.0,20.9,11.5,27.9,38.9,27.7,25297,14.1,0.02,0.59,21.139999999999997,924.0
University of East London,United Kingdom,2019,801,1000,25.9,19.0,20.8,13.8,26.2,34.0,78.7,10639,16.9,0.32,0.63,24.9925,823.0
Edge Hill University,United Kingdom,2019,801,1000,25.9,19.0,14.3,9.5,34.4,34.0,35.6,12025,14.6,0.05,0.68,20.980000000000004,930.0
Erciyes University,Turkey,2019,801,1000,25.9,19.0,16.4,14.7,22.1,85.8,21.7,38308,26.7,0.03,0.47,19.732499999999998,971.0
University of Évora,Portugal,2019,801,1000,25.9,19.0,18.1,13.8,32.2,35.5,53.5,7254,13.9,0.12,0.55,24.13,843.0
Fayoum University,Egypt,2019,801,1000,25.9,19.0,13.6,7.2,30.5,34.0,39.4,30087,15.0,,0.39,19.195,992.0
Federal University of ABC (UFABC),Brazil,2019,801,1000,25.9,19.0,14.8,12.3,26.8,39.3,33.6,14320,20.9,0.01,0.26,19.6725,975.0
Federal University of Bahia,Brazil,2019,801,1000,25.9,19.0,21.8,12.4,20.3,34.3,24.0,32614,12.7,0.01,0.52,19.0075,999.0
Federal University of Pelotas,Brazil,2019,801,1000,25.9,19.0,22.1,10.4,42.0,34.0,20.6,18700,14.0,0.01,0.56,24.745000000000005,831.0
Federal University of Santa Catarina,Brazil,2019,801,1000,25.9,19.0,27.1,12.0,36.1,35.6,28.1,37964,16.7,0.03,0.49,25.557500000000005,811.0
Federal University of São Carlos,Brazil,2019,801,1000,25.9,19.0,26.3,13.1,15.3,40.4,23.4,18258,14.6,0.02,0.49,19.175,994.0
Ferdowsi University of Mashhad,Iran,2019,801,1000,25.9,19.0,25.1,17.2,22.3,40.2,20.7,23334,28.4,0.05,0.57,21.937499999999996,901.0
Ferhat Abbas Sétif University 1,Algeria,2019,801,1000,25.9,19.0,23.3,7.0,24.1,34.0,42.1,32283,21.9,0.01,0.62,20.3275,948.0
Florida Atlantic University,United States,2019,801,1000,25.9,19.0,17.5,14.6,35.9,39.4,43.9,23449,18.7,0.11,0.6,24.6775,833.0
Florida Institute of Technology,United States,2019,801,1000,25.9,19.0,24.6,13.5,28.6,36.8,58.6,5483,13.8,0.36,0.34,25.324999999999996,818.0
University of La Frontera,Chile,2019,801,1000,25.9,19.0,15.1,16.7,32.9,34.0,45.9,10310,26.5,,0.44,23.702499999999997,859.0
Fu Jen Catholic University,Taiwan,2019,801,1000,25.9,19.0,16.8,13.1,29.7,45.4,26.6,23161,18.9,0.08,0.58,21.01,928.0
Gebze Technical University,Turkey,2019,801,1000,25.9,19.0,24.1,11.9,26.8,35.8,28.1,6620,25.4,0.02,0.34,21.842499999999998,904.0
University of Ghana,Ghana,2019,801,1000,25.9,19.0,14.5,13.6,23.8,42.2,48.8,37010,24.6,0.02,0.44,20.285,951.0
University of Guilan,Iran,2019,801,1000,25.9,19.0,13.8,12.2,36.7,35.4,14.6,16525,27.4,,0.56,20.79,936.0
Hamamatsu University School of Medicine,Japan,2019,801,1000,25.9,19.0,28.0,12.6,21.8,41.6,17.4,1205,3.8,0.01,0.49,21.064999999999998,927.0
Hyogo College of Medicine,Japan,2019,801,1000,25.9,19.0,28.7,11.9,36.2,34.0,15.9,878,1.9,0.01,0.36,25.0825,822.0
Indian Institute of Technology (Indian School of Mines) Dhanbad,India,2019,801,1000,25.9,19.0,24.8,14.1,39.3,49.6,13.7,7370,23.0,0.01,0.14,25.7275,806.0
Indian Institute of Science Education and Research Kolkata,India,2019,801,1000,25.9,19.0,29.4,10.9,26.4,35.9,17.0,1199,12.5,,0.27,22.182499999999997,897.0
Industrial University of Santander (UIS),Colombia,2019,801,1000,25.9,19.0,13.0,8.2,32.3,34.5,39.6,20014,23.9,,0.46,19.882499999999997,966.0
Inha University,South Korea,2019,801,1000,25.9,19.0,23.0,21.0,23.5,61.0,29.4,19384,23.7,0.05,0.39,23.979999999999997,845.0
Iran University of Medical Sciences,Iran,2019,801,1000,25.9,19.0,33.3,9.3,26.6,40.8,18.8,8600,8.4,0.03,0.5,23.189999999999998,877.0
University of Isfahan,Iran,2019,801,1000,25.9,19.0,24.4,21.2,10.4,44.4,16.8,12900,19.8,0.01,0.59,19.17,995.0
Istanbul University,Turkey,2019,801,1000,25.9,19.0,22.1,16.6,19.1,51.3,27.3,93109,44.7,0.08,0.48,20.669999999999998,939.0
Iuliu Haţieganu University of Medicine and Pharmacy Cluj-Napoca,Romania,2019,801,1000,25.9,19.0,20.7,8.4,32.5,34.0,62.0,7121,6.9,0.33,0.64,23.98,844.0
