Institution,Country,Year,Best Rank,Worst Rank,Highest Score,Lowest Score,Teaching,Research,Citations,Industry Income,International Outlook,FTE Enrollment,Students per Staff,International Enrollment,Pct Women,Score,Rank
University of Southern Denmark,Denmark,2019,251,300,49.4,46.4,19.6,26.1,86.5,68.1,79.1,25975,14.3,0.16,0.53,47.294999999999995,294.0
University of South Florida,United States,2019,251,300,49.4,46.4,30.6,36.4,76.1,87.2,50.7,33413,18.8,0.13,,48.9125,261.0
Stony Brook University,United States,2019,251,300,49.4,46.4,34.2,22.4,83.8,35.7,70.2,23722,10.6,0.23,0.49,48.277499999999996,273.0
University of Stuttgart,Germany,2019,251,300,49.4,46.4,42.0,47.5,56.1,62.6,53.1,26697,47.1,0.2,0.32,49.2275,256.0
University of Surrey,United Kingdom,2019,251,300,49.4,46.4,32.0,32.6,72.2,47.7,93.2,11987,15.6,0.4,0.53,49.222500000000004,257.0
Swansea University,United Kingdom,2019,251,300,49.4,46.4,22.1,24.8,91.1,36.2,82.0,14978,16.5,0.23,0.45,48.455,269.0
Swedish University of Agricultural Sciences,Sweden,2019,251,300,49.4,46.4,32.5,29.1,78.3,95.7,47.2,3745,4.4,0.04,0.69,47.902499999999996,279.0
Syracuse University,United States,2019,251,300,49.4,46.4,32.0,28.3,79.2,40.6,48.3,20277,16.0,0.2,0.53,46.487500000000004,299.0
Technical University of Darmstadt,Germany,2019,251,300,49.4,46.4,41.3,43.6,58.0,87.9,56.4,18221,40.7,0.16,0.3,49.29749999999999,253.0
University of Texas at Dallas,United States,2019,251,300,49.4,46.4,23.7,28.6,87.5,41.6,59.5,20787,21.6,0.25,0.43,47.442499999999995,292.0
Tohoku University,Japan,2019,251,300,49.4,46.4,53.0,47.7,46.1,71.9,37.0,17687,5.5,0.11,0.26,48.6125,265.0
Tokyo Institute of Technology,Japan,2019,251,300,49.4,46.4,54.3,52.7,39.9,68.1,39.4,9612,7.5,0.14,0.14,48.7275,264.0
University of Trento,Italy,2019,251,300,49.4,46.4,25.4,30.5,85.2,41.3,58.2,12856,20.2,0.08,0.51,47.7275,284.0
Vienna University of Technology,Austria,2019,251,300,49.4,46.4,40.2,36.6,52.7,66.7,82.9,17827,34.0,0.29,0.29,46.735,298.0
Virginia Polytechnic Institute and State University,United States,2019,251,300,49.4,46.4,34.8,39.8,70.2,48.2,52.4,32296,18.5,0.14,0.43,48.574999999999996,266.0
Vrije Universiteit Brussel,Belgium,2019,251,300,49.4,46.4,35.4,36.1,66.4,57.9,74.1,11101,27.8,0.22,0.54,48.375,271.0
Wake Forest University,United States,2019,251,300,49.4,46.4,41.3,18.4,87.8,44.1,29.3,7588,4.0,0.07,0.52,47.55,290.0
Aix-Marseille University,France,2019,301,350,46.3,44.0,40.6,22.4,68.4,37.4,58.7,69147,17.1,0.11,0.58,44.75750000000001,330.0
University of Alaska Fairbanks,United States,2019,301,350,46.3,44.0,27.9,24.9,76.9,44.9,53.4,3667,8.4,0.06,0.5,44.0375,348.0
Alfaisal University,Saudi Arabia,2019,301,350,46.3,44.0,19.3,23.0,78.1,53.6,98.7,2407,10.6,0.4,0.58,44.8625,328.0
American University,United States,2019,301,350,46.3,44.0,43.1,21.7,76.6,39.4,33.5,10790,10.8,0.13,0.65,45.9175,307.0
Anglia Ruskin University,United Kingdom,2019,301,350,46.3,44.0,15.3,12.8,98.7,34.7,79.0,16498,22.5,0.28,0.61,44.832499999999996,329.0
Auckland University of Technology,New Zealand,2019,301,350,46.3,44.0,17.3,16.6,91.4,35.6,96.0,18160,17.5,0.44,0.59,45.68000000000001,312.0
University of Bayreuth,Germany,2019,301,350,46.3,44.0,35.1,31.2,65.6,56.8,55.2,12784,36.7,0.08,0.45,45.129999999999995,320.0
"Birkbeck, University of London",United Kingdom,2019,301,350,46.3,44.0,27.9,31.4,66.9,34.2,87.5,8242,16.1,0.4,0.53,45.277499999999996,318.0
Boston College,United States,2019,301,350,46.3,44.0,36.1,25.3,72.3,45.2,57.6,13035,15.9,0.14,0.55,45.56,314.0
University of Bremen,Germany,2019,301,350,46.3,44.0,36.2,35.1,60.4,48.5,53.8,19173,31.4,0.11,0.5,44.75749999999999,331.0
University of Canterbury,New Zealand,2019,301,350,46.3,44.0,22.4,26.6,74.9,36.7,92.1,12492,17.2,0.22,0.49,44.995,325.0
University of Colorado Denver,United States,2019,301,350,46.3,44.0,33.6,13.9,96.1,34.0,28.8,17853,5.4,0.07,0.56,46.089999999999996,305.0
University of Connecticut,United States,2019,301,350,46.3,44.0,36.7,29.8,67.3,37.1,46.1,30356,14.6,0.08,0.53,44.525000000000006,337.0
Curtin University,Australia,2019,301,350,46.3,44.0,20.6,25.7,74.8,41.6,94.9,30904,18.3,0.35,0.51,44.4875,338.0
Cyprus University of Technology,Cyprus,2019,301,350,46.3,44.0,15.8,14.9,95.5,35.3,70.6,3114,17.7,0.08,0.56,44.0375,348.0
University of Denver,United States,2019,301,350,46.3,44.0,40.2,21.5,76.2,35.3,28.0,9421,13.2,0.1,0.57,44.352500000000006,342.0
Federal University of Toulouse Midi-Pyrénées,France,2019,301,350,46.3,44.0,31.9,30.6,64.5,37.4,72.1,101658,25.0,0.18,0.52,44.442499999999995,339.0
George Mason University,United States,2019,301,350,46.3,44.0,29.0,25.8,79.3,35.3,44.1,28261,17.7,0.09,0.54,44.419999999999995,340.0
Grenoble Alpes University,France,2019,301,350,46.3,44.0,32.4,27.8,75.1,35.6,59.4,40758,17.5,0.13,0.53,45.934999999999995,306.0
Heriot-Watt University,United Kingdom,2019,301,350,46.3,44.0,27.1,23.0,73.0,41.2,94.1,9158,16.7,0.38,0.41,45.0175,324.0
Higher School of Economics,Russian Federation,2019,301,350,46.3,44.0,32.8,32.7,72.7,56.6,40.5,19527,11.3,0.09,,45.912499999999994,309.0
University of Houston,United States,2019,301,350,46.3,44.0,38.8,32.4,61.6,38.3,42.1,42962,43.6,0.1,0.5,43.955000000000005,353.0
Khalifa University,United Arab Emirates,2019,301,350,46.3,44.0,25.3,29.1,65.3,100.0,96.4,3288,8.1,0.28,0.51,45.64,313.0
La Trobe University,Australia,2019,301,350,46.3,44.0,25.2,32.5,65.4,54.1,81.7,21203,34.8,0.28,0.62,44.41,341.0
University of Liège,Belgium,2019,301,350,46.3,44.0,29.8,37.0,60.1,98.2,69.8,20730,26.5,0.21,0.56,45.76,311.0
University of Malaya,Malaysia,2019,301,350,46.3,44.0,37.0,27.1,59.1,52.3,85.0,17095,8.9,0.23,0.57,44.6425,334.0
University of Milan,Italy,2019,301,350,46.3,44.0,33.4,27.0,76.5,44.0,42.1,46843,23.0,0.06,0.59,45.32749999999999,317.0
Montpellier University,France,2019,301,350,46.3,44.0,36.9,20.8,73.0,37.0,60.3,39837,19.9,0.14,0.53,44.65749999999999,332.0
